FECDIA,LLAMADAS_INGRESADAS,DIA_SEMANA_DES,TIPOLOGIA,
20190202,19583,Sab,COSTADO,
20190228,30789,Jue,PICO,
20190503,30682,Vie,COSTADO,
20200102,8751,Jue,EFECTO F,
20200111,21552,Sab,NORMAL,
20200718,25971,Sab,NORMAL,
20201211,38035,Vie,NORMAL,
20210604,35547,Vie,NORMAL,
20210818,44494,Mie,NORMAL,
20210826,34796,Jue,NORMAL,
20211216,32091,Jue,COSTADO,
20170502,28136,Mar,EFECTO F,
20170623,14016,Vie,NORMAL,
20171031,23779,Mar,PICO,
20171114,21581,Mar,NORMAL,
20171209,15777,Sab,EFECTO F,
20180314,18786,Mie,NORMAL,
20180625,21734,Lun,NORMAL,
20180901,24086,Sab,COSTADO,
20200107,28620,Mar,NORMAL,
20200327,34669,Vie,NORMAL,
20200406,31186,Lun,NORMAL,
20200409,12877,Jue,FERIADO,
20200902,46774,Mie,COSTADO,
20200916,41799,Mie,NORMAL,
20200928,36476,Lun,NORMAL,
20201112,31579,Jue,NORMAL,
20210728,11271,Mie,FERIADO,
20211021,27620,Jue,NORMAL,
20211130,36125,Mar,PICO,
20170328,17949,Mar,NORMAL,
20170522,16275,Lun,NORMAL,
20170610,12597,Sab,NORMAL,
20180127,13188,Sab,NORMAL,
20180308,15301,Jue,NORMAL,
20180505,17877,Sab,NORMAL,
20180525,17547,Vie,NORMAL,
20180718,26421,Mie,NORMAL,
20181006,17512,Sab,NORMAL,
20181227,22536,Jue,NORMAL,
20190125,22905,Vie,NORMAL,
20200311,26703,Mie,NORMAL,
20200520,35625,Mie,NORMAL,
20201007,30840,Mie,NORMAL,
20201020,31588,Mar,NORMAL,
20201205,28582,Sab,NORMAL,
20201225,3138,Vie,FERIADO,
20210517,47745,Lun,NORMAL,
20210823,44019,Lun,NORMAL,
20211106,25536,Sab,NORMAL,
20170107,11386,Sab,NORMAL,
20170331,24043,Vie,PICO,
20180322,18051,Jue,NORMAL,
20180823,18198,Jue,NORMAL,
20180915,19172,Sab,COSTADO,
20191212,27050,Jue,NORMAL,
20200108,27228,Mie,NORMAL,
20200507,30484,Jue,NORMAL,
20200828,39968,Vie,PICO,
