CODMES_PLANIFICACION,FECDIA_TARGET,LLAMADAS_INGRESADAS_TARGET,CODMES_DATA_VARIABLES,LINEA,TRX_AGENTE,TRX_BCA_INTERNET,TRX_BCA_MOVIL,TRX_BCA_TELEFONO,TRX_CAJERO_AUTOMATICO,TRX_CAJERO_OTRAS_REDES,TRX_POS,TRX_APP_NEGOCIO,TRX_VENTANILLA,CLI_NORMAL_TOTAL_ODS,CLI_EXCL_TOTAL_ODS,CLI_SUPEREXCL_TOTAL_ODS,CLI_PEQYME_TOTAL_ODS,CLI_NO_BANCO_TOTAL_ODS,MAX_INGRESADAS_D_U1,MAX_INGRESADAS_D_U3,MAX_INGRESADAS_D_U6,MAX_INGRESADAS_U1,MAX_INGRESADAS_U3,MAX_INGRESADAS_U6,MIN_INGRESADAS_D_U1,MIN_INGRESADAS_D_U3,MIN_INGRESADAS_D_U6,MIN_INGRESADAS_U1,MIN_INGRESADAS_U3,MIN_INGRESADAS_U6,PROM_INGRESADAS_D_U1,PROM_INGRESADAS_D_U3,PROM_INGRESADAS_D_U6,PROM_INGRESADAS_U1,PROM_INGRESADAS_U3,PROM_INGRESADAS_U6,DIA_SEMANA_NUM,DIA_SEMANA_DES,TIPOLOGIA,CANT_DIAS_DESP_FACT_MEX_22,CANT_DIAS_DESP_FACT_ISA_10,CANT_DIAS_DESP_FACT_ISA_25,DIA_FACT_MEX_22,DIA_FACT_ISA_10,DIA_FACT_ISA_25
201811,20190202,19583,201809,PREGUNTAS FRECUENTES,25762480,14920556,67629067,5008295,26018046,224517,21193583,12073129,8536788,8488926,404674,44715,762868,,20010,24086,25176,32369,36394,36394,16249,14824,10100,7793,0,0,17916,17942,17420,21626,20048,19828,6,Sab,COSTADO,12,24,8,0,0,0
201811,20190228,30789,201809,PREGUNTAS FRECUENTES,25762480,14920556,67629067,5008295,26018046,224517,21193583,12073129,8536788,8488926,404674,44715,762868,11132550,32369,32369,32369,32369,36394,36394,7910,7910,7910,7793,0,0,21572,20681,20734,21626,20048,19828,4,Jue,PICO,6,19,3,0,0,0
201902,20190503,30682,201812,PREGUNTAS FRECUENTES,27353626,13247617,78946632,4780061,25296041,221998,23000336,12082153,8197638,8745664,412923,45252,777890,11158320,26509,26509,29615,30789,37125,37125,18298,18298,18298,7540,4237,0,21300,21779,22759,19261,19810,19929,5,Vie,COSTADO,12,24,8,0,0,0
201910,20200102,8751,201908,PREGUNTAS FRECUENTES,35218163,24156144,139792842,5653085,28308894,345057,31356405,14372128,8270396,9503238,392573,46323,821447,11058875,29848,38350,38350,38026,45216,45216,22786,22786,19845,8195,8060,6935,26790,28174,26621,24479,25498,24318,4,Jue,EFECTO F,12,24,8,0,0,0
201910,20200111,21552,201908,PREGUNTAS FRECUENTES,35218163,24156144,139792842,5653085,28308894,345057,31356405,14372128,,9503238,392573,46323,821447,,23122,31315,31315,38026,45216,45216,16797,16797,14854,8195,8060,6935,19639,22501,20743,24479,25498,24318,6,Sab,NORMAL,21,1,18,0,0,0
202004,20200718,25971,202002,PREGUNTAS FRECUENTES,,32333849,186781594,5434655,12772092,184028,18273680,10812454,3549167,10055562,,46120,844237,10947968,27078,37418,37418,39611,46584,46584,22271,17634,14900,5401,5401,4246,25010,25546,23636,26420,27042,25648,6,Sab,NORMAL,27,8,24,0,0,0
202009,20201211,38035,202007,PREGUNTAS FRECUENTES,,24152338,,4421745,16881914,217955,30230609,13335406,,10573422,375555,46404,888791,11093658,44944,44944,47829,49175,49175,55548,28475,28475,9036,5002,5002,3347,34381,36029,35227,31135,31986,31562,5,Vie,NORMAL,20,1,17,0,0,0
202103,20210604,35547,202101,PREGUNTAS FRECUENTES,36513011,23838905,252559287,3321040,17154355,239341,40998423,13111701,5317583,11192369,391470,46142,,11156369,31169,34665,41060,47742,47742,47742,26483,7072,3138,1093,1093,47,28637,28699,30196,27657,28034,28969,5,Vie,NORMAL,14,26,11,0,0,0
202105,20210818,44494,202103,PREGUNTAS FRECUENTES,38769826,28276894,239503185,4469183,19578786,283172,44117885,15856265,5497118,11365919,391451,,946860,,43817,43817,43817,48273,48273,48273,31017,25432,25432,4741,1093,1093,38270,33361,34212,31636,27713,28473,3,Mie,NORMAL,28,8,25,0,0,0
202105,20210826,34796,202103,PREGUNTAS FRECUENTES,38769826,28276894,239503185,,19578786,283172,44117885,15856265,5497118,11365919,391451,46232,946860,11168596,40157,40157,40157,48273,48273,48273,31729,20315,20315,4741,1093,1093,36233,30460,31496,31636,27713,28473,4,Jue,NORMAL,4,17,1,0,0,0
202109,20211216,32091,202107,PREGUNTAS FRECUENTES,39576230,28276894,239503185,3563876,18727119,298444,49819879,15024724,5555723,11755570,394459,46599,971550,11365933,50230,53594,53594,53274,57793,57793,24129,12438,12438,65,42,42,,35583,33443,27135,31447,29992,4,Jue,COSTADO,25,6,22,0,0,0
201707,20171031,23779,201705,PREGUNTAS FRECUENTES,18962956,17639908,27046262,4217649,21606778,204429,14140625,10683078,8661919,7221429,372910,35205,702648,,17939,28136,28136,22635,28136,30178,12675,12675,12675,2906,1956,1956,15865,18318,19445,13827,14814,15888,2,Mar,PICO,9,22,6,0,0,0
201708,20171114,21581,201706,PREGUNTAS FRECUENTES,20013203,18525878,31795880,4676608,22462921,212273,15107971,10862897,8808583,7273233,372784,35469,706300,11299317,20288,20288,28136,20288,24665,30178,13489,12675,12675,5129,1956,1956,16610,16584,18632,14334,14297,15544,2,Mar,NORMAL,24,4,21,0,0,0
201709,20171209,15777,201707,PREGUNTAS FRECUENTES,19576997,17682032,33591440,4650930,20720228,,14814819,11229417,8730602,7379170,372774,35624,710605,11258323,22026,22026,23198,23669,23669,30178,14315,6698,6698,6978,2906,1956,16354,13873,13963,16595,14901,15390,6,Sab,EFECTO F,18,30,15,0,0,0
201712,20180314,18786,201710,PREGUNTAS FRECUENTES,18841866,13396467,34710288,4469190,22066636,198822,14948993,10024278,,7573236,381387,36626,,11256520,20236,27181,27181,31150,52376,52376,18352,10979,10844,3561,3561,2906,19354,19933,18038,17841,18483,16692,3,Mie,NORMAL,21,4,18,0,0,0
201803,20180625,21734,201801,PREGUNTAS FRECUENTES,22863548,20928326,46006287,5239835,24745010,213865,17645482,12066962,8833508,7977605,386176,37134,736535,11057991,23800,25770,52376,25432,25977,52376,18751,3826,3561,6973,3593,3561,21820,19255,21463,17248,16745,17624,1,Lun,NORMAL,3,16,0,0,0,1
201806,20180901,24086,201804,PREGUNTAS FRECUENTES,24594693,17339765,,,22771520,223288,18390153,11958279,8486633,8021856,404929,39734,743574,11212992,25176,25176,25176,30270,37631,37631,14289,14133,12594,6279,160,160,19086,17138,16083,19458,18956,17857,6,Sab,COSTADO,11,23,7,0,0,0
201910,20200107,28620,201908,PREGUNTAS FRECUENTES,35218163,24156144,139792842,5653085,28308894,345057,31356405,14372128,8270396,9503238,392573,46323,821447,11058875,38026,45216,45216,38026,45216,45216,14517,14517,14517,8195,8060,6935,28365,30153,29251,24479,25498,24318,2,Mar,NORMAL,17,29,14,0,0,0
