CODMES_PLANIFICACION,FECDIA_TARGET,LLAMADAS_INGRESADAS_TARGET,CODMES_DATA_VARIABLES,TRX_AGENTE,TRX_BCA_INTERNET,TRX_BCA_MOVIL,TRX_BCA_TELEFONO,TRX_CAJERO_AUTOMATICO,TRX_CAJERO_OTRAS_REDES,TRX_POS,TRX_APP_NEGOCIO,TRX_VENTANILLA,CLI_NORMAL_TOTAL_ODS,CLI_EXCL_TOTAL_ODS,CLI_SUPEREXCL_TOTAL_ODS,CLI_PEQYME_TOTAL_ODS,CLI_NO_BANCO_TOTAL_ODS,MAX_INGRESADAS_D_U1,MAX_INGRESADAS_D_U3,MAX_INGRESADAS_D_U6,MAX_INGRESADAS_U1,MAX_INGRESADAS_U3,MAX_INGRESADAS_U6,MIN_INGRESADAS_D_U1,MIN_INGRESADAS_D_U3,MIN_INGRESADAS_D_U6,MIN_INGRESADAS_U1,MIN_INGRESADAS_U3,MIN_INGRESADAS_U6,PROM_INGRESADAS_D_U1,PROM_INGRESADAS_D_U3,PROM_INGRESADAS_D_U6,PROM_INGRESADAS_U1,PROM_INGRESADAS_U3,PROM_INGRESADAS_U6,DIA_SEMANA_NUM,TIPOLOGIA,CANT_DIAS_DESP_FACT_MEX_22,CANT_DIAS_DESP_FACT_ISA_10,CANT_DIAS_DESP_FACT_ISA_25,DIA_FACT_MEX_22,DIA_FACT_ISA_10,DIA_FACT_ISA_25,lag1,lag6,lag12,lag24,lag54,lag66,lag78,lag109,lag156,lag234,lag288,rolling_mean6,rolling_mean12,rolling_mean24,rolling_mean54,rolling_mean66,rolling_mean78,rolling_mean109,rolling_mean156,rolling_mean234,rolling_mean288
201805,2018-08-03,22982,201803,24418439.0,25429127.0,51917970.0,5674372.0,26620754.0,239631.0,19173552.0,12447926.0,8862078.0,7923383.0,404699.0,39578.0,738906.0,11232374.0,24162,24162,31150,37631,37631,37631,17547,6973,6973.0,160,160.0,160.0,21529.0,19059.0,19327.0,19753.0,18217.0,17590.0,5,3,13,25,9,0,0,0,22451.0,20357.0,20466.0,21424.0,24914.0,24162.0,23644.0,13152.0,19993.0,7442.0,17702.0,22102.5,21069.666666666668,22203.625,22161.777777777777,21933.045454545456,22304.53846153846,21252.155963302754,20568.339743589742,20026.047008547008,20019.708333333332
201805,2018-08-04,17448,201803,24418439.0,25429127.0,51917970.0,5674372.0,26620754.0,239631.0,19173552.0,12447926.0,8862078.0,7923383.0,404699.0,39578.0,738906.0,11232374.0,17877,17877,23732,37631,37631,37631,14494,14133,12594.0,160,160.0,160.0,16588.0,16022.0,16017.0,19753.0,18217.0,17590.0,6,3,14,26,11,0,0,0,22982.0,10100.0,16719.0,15363.0,18263.0,16982.0,17877.0,6973.0,15413.0,16714.0,14471.0,22540.0,21279.333333333332,22268.541666666668,22126.0,21915.166666666668,22296.05128205128,21342.339449541283,20587.5,20092.457264957266,20038.041666666668
201805,2018-08-06,21190,201803,24418439.0,25429127.0,51917970.0,5674372.0,26620754.0,239631.0,19173552.0,12447926.0,8862078.0,7923383.0,404699.0,39578.0,738906.0,11232374.0,28953,31540,31540,37631,37631,37631,23900,18620,3561.0,160,160.0,160.0,25496.0,24130.0,21143.0,19753.0,18217.0,17590.0,1,3,16,28,13,0,0,0,17448.0,24456.0,21209.0,22219.0,23418.0,23900.0,24649.0,17626.0,23269.0,21479.0,17447.0,23764.666666666668,21340.083333333332,22355.416666666668,22110.90740740741,21922.227272727272,22290.55128205128,21438.440366972478,20600.54487179487,20095.594017094016,20048.378472222223
201805,2018-08-07,19253,201803,24418439.0,25429127.0,51917970.0,5674372.0,26620754.0,239631.0,19173552.0,12447926.0,8862078.0,7923383.0,404699.0,39578.0,738906.0,11232374.0,33945,33945,33945,37631,37631,37631,160,160,160.0,160,160.0,160.0,19796.0,20032.0,19966.0,19753.0,18217.0,17590.0,2,3,17,29,14,0,0,0,21190.0,28170.0,20768.0,20210.0,24371.0,21742.0,20849.0,31540.0,18782.0,20983.0,15071.0,23220.333333333332,21338.5,22312.541666666668,22069.64814814815,21881.166666666668,22246.20512820513,21471.1376146789,20587.21794871795,20094.358974358973,20061.375
201805,2018-08-08,17827,201803,24418439.0,25429127.0,51917970.0,5674372.0,26620754.0,239631.0,19173552.0,12447926.0,8862078.0,7923383.0,404699.0,39578.0,738906.0,11232374.0,37631,37631,37631,37631,37631,37631,16903,15627,15497.0,160,160.0,160.0,23576.0,20792.0,20144.0,19753.0,18217.0,17590.0,3,3,18,30,15,0,0,0,19253.0,27081.0,19990.0,22625.0,17061.0,19494.0,19951.0,26496.0,17900.0,19228.0,15217.0,21734.166666666668,21212.25,22272.666666666668,21974.87037037037,21843.454545454544,22225.74358974359,21358.4128440367,20590.23717948718,20086.965811965812,20075.895833333332
201805,2018-08-09,16129,201803,24418439.0,25429127.0,51917970.0,5674372.0,26620754.0,239631.0,19173552.0,12447926.0,8862078.0,7923383.0,404699.0,39578.0,738906.0,11232374.0,26973,26973,26973,37631,37631,37631,17076,13152,13152.0,160,160.0,160.0,22888.0,20269.0,19567.0,19753.0,18217.0,17590.0,4,3,19,32,16,0,0,0,17827.0,22451.0,21069.0,21590.0,18335.0,17076.0,19940.0,22653.0,16941.0,17657.0,14522.0,20191.833333333332,21032.0,22072.75,21989.055555555555,21818.196969696968,22198.51282051282,21278.880733944956,20589.76923076923,20080.978632478633,20084.958333333332
201805,2018-08-10,15962,201803,24418439.0,25429127.0,51917970.0,5674372.0,26620754.0,239631.0,19173552.0,12447926.0,8862078.0,7923383.0,404699.0,39578.0,738906.0,11232374.0,24162,24162,31150,37631,37631,37631,17547,6973,6973.0,160,160.0,160.0,21529.0,19059.0,19327.0,19753.0,18217.0,17590.0,5,3,20,0,17,0,1,0,16129.0,22982.0,20357.0,21618.0,17953.0,17547.0,20764.0,21235.0,16419.0,17553.0,17969.0,19138.166666666668,20620.333333333332,21845.208333333332,21948.203703703704,21803.848484848484,22149.653846153848,21219.02752293578,20584.5641025641,20074.44871794872,20090.538194444445
201805,2018-08-11,14536,201803,24418439.0,25429127.0,51917970.0,5674372.0,26620754.0,239631.0,19173552.0,12447926.0,8862078.0,7923383.0,404699.0,39578.0,738906.0,11232374.0,17877,17877,23732,37631,37631,37631,14494,14133,12594.0,160,160.0,160.0,16588.0,16022.0,16017.0,19753.0,18217.0,17590.0,6,3,21,1,18,0,0,0,15962.0,17448.0,10100.0,20794.0,14289.0,14494.0,16997.0,18949.0,14184.0,14700.0,14558.0,17968.166666666668,20254.083333333332,21609.541666666668,21911.333333333332,21779.833333333332,22088.089743589742,21170.65137614679,20581.634615384617,20067.649572649574,20083.569444444445
201805,2018-08-13,21059,201803,24418439.0,25429127.0,51917970.0,5674372.0,26620754.0,239631.0,19173552.0,12447926.0,8862078.0,7923383.0,404699.0,39578.0,738906.0,11232374.0,28953,31540,31540,37631,37631,37631,23900,18620,3561.0,160,160.0,160.0,25496.0,24130.0,21143.0,19753.0,18217.0,17590.0,1,3,23,3,20,0,0,0,14536.0,21190.0,24456.0,33618.0,22574.0,24483.0,28953.0,15155.0,18571.0,21128.0,20078.0,17482.833333333332,20623.75,21348.791666666668,21915.90740740741,21780.469696969696,22056.53846153846,21130.16513761468,20583.891025641027,20066.94871794872,20083.493055555555
201805,2018-08-14,22742,201803,24418439.0,25429127.0,51917970.0,5674372.0,26620754.0,239631.0,19173552.0,12447926.0,8862078.0,7923383.0,404699.0,39578.0,738906.0,11232374.0,33945,33945,33945,37631,37631,37631,160,160,160.0,160,160.0,160.0,19796.0,20032.0,19966.0,19753.0,18217.0,17590.0,2,3,24,4,21,0,0,0,21059.0,19253.0,28170.0,30351.0,19994.0,22282.0,33945.0,20370.0,19100.0,21581.0,18677.0,17461.0,20340.666666666668,20825.5,21887.85185185185,21728.590909090908,21955.333333333332,21184.330275229357,20599.839743589742,20066.653846153848,20086.899305555555
